# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.635234412147e-10       7.604989382206e-15       2.361412815649e-13       6.526354640912e-17       8.549802011974e-11       8.841758366997e-12      -9.559414340614e-15 
   41       1.659492416060e-10       8.259259265320e-15       2.269358520913e-13       6.857247144331e-17       8.127195228171e-11       8.431703912671e-12      -8.568792854484e-15 
   42       1.683996999293e-10       8.948734059763e-15       2.162253946915e-13       7.196601157798e-17       7.732735583804e-11       8.048078962538e-12      -7.543912930046e-15 
   43       1.708753136040e-10       9.673929328818e-15       2.040931843579e-13       7.544431640982e-17       7.362165581933e-11       7.690628802370e-12      -6.803893897031e-15 
   44       1.733782651755e-10       1.043540096043e-14       1.905335456473e-13       7.900741277607e-17       7.014914289346e-11       7.358880883133e-12      -6.392373025436e-15 
   45       1.759089577924e-10       1.123368269863e-14       1.755160069168e-13       8.265526490075e-17       6.690627461030e-11       7.051330408207e-12      -6.266687687869e-15 
   46       1.784645094248e-10       1.206926099916e-14       1.590096967264e-13       8.638779591425e-17       6.387786564151e-11       6.765064624701e-12      -6.369530524186e-15 
   47       1.810384568929e-10       1.294257293825e-14       1.409831839344e-13       9.020488551520e-17       6.103618004681e-11       6.495658079040e-12      -6.628014401681e-15 
   48       1.836238982362e-10       1.385398915272e-14       1.214031447812e-13       9.410636484487e-17       5.834946902390e-11       6.238426958969e-12      -6.965951869180e-15 
   49       1.862246578796e-10       1.480376185309e-14       1.002302929497e-13       9.809200485715e-17       5.581254812068e-11       5.992854637126e-12      -7.346968430267e-15 
   50       1.888467602787e-10       1.579205856307e-14       7.742202750400e-14       1.021615206531e-16       5.342327977622e-11       5.759233671368e-12      -7.741935870508e-15 
   51       1.914951487890e-10       1.681897302411e-14       5.293329138770e-14       1.063145715630e-16       5.117346504365e-11       5.537381105257e-12      -8.116564429980e-15 
   52       1.941735651203e-10       1.788452234050e-14       2.671635167162e-14       1.105507586659e-16       4.904841776879e-11       5.326603064799e-12      -8.431141972326e-15 
   53       1.968844724957e-10       1.898868613188e-14      -1.272396408162e-15       1.148696681014e-16       4.703157587628e-11       5.126010460398e-12      -8.651772829285e-15 
   54       1.996290794185e-10       2.013154238210e-14      -3.104945744023e-14       1.192710197888e-16       4.512070750670e-11       4.935642893267e-12      -8.788087596287e-15 
   55       2.024071119222e-10       2.131316154721e-14      -6.262168375732e-14       1.237545526273e-16       4.331513002611e-11       4.755572050697e-12      -8.864775550366e-15 
   56       2.052166543581e-10       2.253356653674e-14      -9.599270910904e-14       1.283199815036e-16       4.161082789571e-11       4.585555681411e-12      -8.911150102143e-15 
   57       2.080540306814e-10       2.379273162005e-14      -1.311628739161e-13       1.329669967313e-16       4.000023805002e-11       4.425016913698e-12      -8.961370131565e-15 
   58       2.109136857380e-10       2.509058133277e-14      -1.681291505246e-13       1.376952634910e-16       3.847203527498e-11       4.273023573545e-12      -9.054661323650e-15 
   59       2.137902573615e-10       2.642696651430e-14      -2.068858852122e-13       1.425044859410e-16       3.701424930437e-11       4.128539463901e-12      -9.224314412107e-15 
   60       2.166856242101e-10       2.780158840577e-14      -2.474273951916e-13       1.473946182078e-16       3.562494886956e-11       3.991293318378e-12      -9.461193688275e-15 
   61       2.196032877462e-10       2.921405496126e-14      -2.897458436778e-13       1.523657014909e-16       3.430366390009e-11       3.861075450849e-12      -9.742130200335e-15 
   62       2.225462817941e-10       3.066390033620e-14      -3.338304300654e-13       1.574178052980e-16       3.304817235530e-11       3.737472308556e-12      -1.004024387198e-14 
   63       2.255171280901e-10       3.215058301852e-14      -3.796673428696e-13       1.625510290774e-16       3.185439854207e-11       3.619855009266e-12      -1.032478439433e-14 
