# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.634279045821e-10       7.540159856374e-15       2.363314366718e-13       0.000000000000e+00       8.549802011974e-11       8.841758366997e-12      -9.559414340614e-15 
   41       1.658496850039e-10       8.191199277586e-15       2.271399465532e-13       0.000000000000e+00       8.127195228171e-11       8.431703912671e-12      -8.568792854484e-15 
   42       1.682960788729e-10       8.877371522514e-15       2.164438060288e-13       0.000000000000e+00       7.732735583804e-11       8.048078962538e-12      -7.543912930046e-15 
   43       1.707675870050e-10       9.599193524540e-15       2.043262439521e-13       0.000000000000e+00       7.362165581933e-11       7.690628802370e-12      -6.803893897031e-15 
   44       1.732663945503e-10       1.035722265624e-14       1.907815325348e-13       0.000000000000e+00       7.014914289346e-11       7.358880883133e-12      -6.392373025436e-15 
   45       1.757929070211e-10       1.115199427469e-14       1.757791416234e-13       0.000000000000e+00       6.690627461030e-11       7.051330408207e-12      -6.266687687869e-15 
   46       1.783442447194e-10       1.198399658549e-14       1.592881349798e-13       0.000000000000e+00       6.387786564151e-11       6.765064624701e-12      -6.369530524186e-15 
   47       1.809139467635e-10       1.285366855650e-14       1.412770101518e-13       0.000000000000e+00       6.103618004681e-11       6.495658079040e-12      -6.628014401681e-15 
   48       1.834951133021e-10       1.376138281280e-14       1.217123659127e-13       0.000000000000e+00       5.834946902390e-11       6.238426958969e-12      -6.965951869180e-15 
   49       1.860915701647e-10       1.470739348791e-14       1.005548340277e-13       0.000000000000e+00       5.581254812068e-11       5.992854637126e-12      -7.346968430267e-15 
   50       1.887093428740e-10       1.569187008809e-14       7.776172558199e-14       0.000000000000e+00       5.342327977622e-11       5.759233671368e-12      -7.741935870508e-15 
   51       1.913533756485e-10       1.671490844533e-14       5.328788875377e-14       0.000000000000e+00       5.117346504365e-11       5.537381105257e-12      -8.116564429980e-15 
   52       1.940274108469e-10       1.777652786491e-14       2.708548886711e-14       0.000000000000e+00       4.904841776879e-11       5.326603064799e-12      -8.431141972326e-15 
   53       1.967339122650e-10       1.887671019119e-14      -8.891858176392e-16       0.000000000000e+00       4.703157587628e-11       5.126010460398e-12      -8.651772829285e-15 
   54       1.994740893788e-10       2.001553536477e-14      -3.065274586080e-14       0.000000000000e+00       4.512070750670e-11       4.935642893267e-12      -8.788087596287e-15 
   55       2.022476692243e-10       2.119307575142e-14      -6.221215353168e-14       0.000000000000e+00       4.331513002611e-11       4.755572050697e-12      -8.864775550366e-15 
